Year,Average USD/KRW
2019,1159.287025
2018,1100.726341
2017,1130.82345
2016,1160.496416
2015,1132.720611
2014,1053.047067
2013,1095.113793
2012,1127.089744
2011,1108.155264
2010,1156.650834
2009,1276.004245
2008,1101.955893
2007,929.096176
2006,955.011753
2005,1023.998178
2004,1144.722856
2003,1191.029383
2002,1245.977503
2001,1289.767389
2000,1130.938112
1999,1188.630929
1998,1404.026103
1997,954.484168
1996,794.334304
1995,764.285188
1994,805.127306
1993,804.129863
1992,783.323101
1991,737.418014
1990,711.603948
1989,674.300605
1988,734.612342
1987,826.086314
1986,884.442725
1985,872.320403
1984,808.063879
1983,776.392281
1982,732.023118
1981,697.295734
1980,628.683488
1979,484
1978,484
1977,484
1976,484
1975,484
1974,404.4725
1973,398.321667
1972,392.894167
1971,347.1475
1970,310.555833
1969,288.160833
1968,276.645
1967,270.516667
1966,271.3375
1965,266.400833
1964,213.846667
1963,130
1962,130
1961,124.791667
1960,63.125
