Year,Average Stock Price(KRW)
2019,57113.09
2018,48712.86
2017,47234.16
2016,46025.75
2015,41223.67
2014,36819.58
2013,36102.73
2012,33768.06
2011,29031.01
2010,24972.67
2009,23024.86
2008,21195.79
2007,17444.8
2006,14227.0
2005,14464.59
2004,17136.5
2003,16595.21
2002,19237.15
2001,19180.52
2000,18891.98
1999,21888.64
1998,30118.75
1997,17377.05
1996,10569.17
1995,6927.33
1994,5057.17
1993,4693.22
1992,4397.89
1991,2927.03
1990,1950.22
1989,1316.91
1988,917.09
1987,1107.62
1986,943.35
1985,588.82
1984,430.37
1983,351.01
1982,229.78
1981,186.53
1980,149.25
1979,127.05
1978,129.32
1977,114.85
1976,122.11
1975,111.61
1974,102.21
1973,155.27
1972,144.04
1971,94.94
1970,63.45
1969,55.73
1968,50.6
1967,39.79
1966,27.54
1965,25.87
1964,17.19
1963,7.85
1962,7.85
1961,7.54
1960,3.81
