id,text
0,"[밀레] 프리미엄 F17WDST 710,520원"
1,"[밀레] 통돌이 블랙라벨 플러스 T16DU 605,130원"
2,"[밀레] 통돌이 TR13BK 359,760원"
3,"[밀레] 통돌이 TR14WK1 381,100원"
4,"[삼성 전자] 액티브워시 WA14N6781TG 411,670원"
5,"[밀레] 프리미엄 F19VDT 1,172,970원"
6,"[밀레] 프리미엄 F21VDT 1,358,990원"
7,"[밀레] 프리미엄 FR14WQT 689,940원"
8,"[밀레] 프리미엄 F17VDW1 822,030원"
9,"[밀레] 통돌이 TR16SK 470,850원"
10,"[밀레] 프리미엄 F16WDBT 507,600원"
11,"[삼성 전자] 액티브워시 WA10J5710SY1 661,980원"
12,"[밀레] 프리미엄 F14WQT 2,555,090원"
13,"[삼성 전자] 워블 WA16M6551KS 634,690원"
14,"[밀레] 프리미엄 F21VDP 451,180원"
15,"[대우전자] 공기방울 DWF-11GAWP 1,186,610원"
16,"[밀레] 프리미엄 트윈워시 F21VDWM 260,990원"
17,"[삼성 전자] 워블 WA10F5S2QWW1 1,741,580원"
18,"[밀레] 프리미엄 F9WK 286,800원"
19,"[밀레] 프리미엄 FR17VPT 2,759,990원"
20,"[대우전자] 공기방울 DWF-06EBWP 422,090원"
21,"[삼성 전자] 워블 WA14M6540KY 398,990원"
22,"[삼성 전자] 워블 WA17M7550TW 1,263,500원"
23,"[밀레] 통돌이 블랙라벨 플러스 T15WU 383,580원"
24,"[밀레] 통돌이 블랙라벨 플러스 T18DT 475,000원"
25,"[삼성 전자] 버블샷 애드워시 WF21N8750TV 2,890,000원"
26,"[밀레] 프리미엄 F19VDW 1,157,250원"
27,"[대우전자] 공기방울 DWF-15GAWP 2,176,200원"
28,"[밀레] 프리미엄 F19VDAW 368,800원"
29,"[삼성 전자] 플렉스워시 WR22M9970KV 367,700원"
30,"[밀레] 프리미엄 F14SQT 1,158,990원"
31,"[삼성 전자] 액티브워시 WA17M7850TV 300,880원"
32,"[밀레] 통돌이 블랙라벨 T20BV 1,543,900원"
33,"[삼성 전자] 아가사랑 WA30F1K6QSA 765,860원"
34,"[밀레] 프리미엄 트윈워시 F17WDSTM 628,560원"
35,"[삼성 전자] 액티브워시 WA16N6790TV 3,166,590원"
36,"[밀레] 통돌이 TR14WK 368,960원"
37,"[밀레] 통돌이 블랙라벨 플러스 T15DU 432,400원"
38,"[밀레] 프리미엄 F21VDAT 1,136,690원"
39,"[삼성 전자] 플렉스워시 WR26M9970KV 585,180원"
40,"[삼성 전자] 버블샷 WF14F5K3AVW1 2,629,000원"
41,"[대우전자] 공기방울 DWF-14GAWR 405,120원"
42,"[밀레] 통돌이 블랙라벨 플러스 T16DT 572,720원"
43,"[밀레] 프리미엄 트윈워시 F19VDAWM 1,336,490원"
44,"[밀레] 통돌이 TR12WK 1,957,220원"
45,"[밀레] 프리미엄 F17WDBU 553,090원"
46,"[삼성 전자] 버블샷 WF17N7210TP 283,990원"
47,"[삼성 전자] 버블샷 애드워시 WD16J7800KS 1,428,080원"
48,"[대우전자] 공기방울 DWF-15GDGP 366,860원"
49,"[밀레] 프리미엄 트윈워시 F21VDTM 340,970원"
50,"[삼성 전자] 플렉스워시 WV20M9670KW 781,990원"
51,"[밀레] 통돌이 블랙라벨 플러스 T17WT 3,264,840원"
52,"[밀레] 프리미엄 트윈워시 F21VDATM 908,930원"
53,"[대우전자] 클라쎄 DWD-15PDWCR 328,990원"
54,"[밀레] 통돌이 블랙라벨 플러스 T16DR 1,819,800원"
55,"[밀레] 통돌이 블랙라벨 플러스 T18ST 1,196,500원"
56,"[삼성 전자] 플렉스워시 WR20M9970KV 2,478,290원"
57,"[밀레] 통돌이 블랙라벨 플러스 T18VV 644,890원"
58,"[밀레] 통돌이 TR14BK1 677,990원"
